dataset,method,method_type,K,seed,select_time_s,ari_drop_means,nmi_drop_means,n_drops_correct,knn_acc,knn_acc_std,sum_fratio,mean_fratio,max_fratio
drop_data_full_cr,mcuve,wrapper-unsup,10,2,0.064,0.5876288659793815,0.7373795844927792,14,0.8986322188449847,0.007089303215617384,49156.7134972671,4915.67134972671,6459.820809051988
drop_data_full_cr,mcuve,wrapper-unsup,10,3,0.058,0.5876288659793815,0.7373795844927792,14,0.9062310030395138,0.00807904793921095,60882.42299309017,6088.242299309017,7451.327362776412
drop_data_full_cr,mcuve,wrapper-unsup,10,4,0.054,0.3637970209543045,0.5936300920654847,10,0.933130699088146,0.00744525757684858,52172.8585455554,5217.28585455554,6742.097648408268
drop_data_full_cr,issc,clustering-unsup,3,0,0.425,0.2219820932386539,0.4715474696969276,10,0.9313069908814591,0.00415091194034883,7745.880807449201,2581.9602691497334,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,3,1,0.418,0.5876288659793815,0.7373795844927792,14,0.8610942249240121,0.01042336060758796,20516.470212015636,6838.823404005212,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,3,2,0.438,0.3637970209543045,0.5936300920654847,10,0.7832826747720365,0.008357280902655043,19344.89532207854,6448.298440692847,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,3,3,0.42,0.3637970209543045,0.5936300920654847,10,0.7849544072948328,0.014264680887850852,17963.43519383842,5987.811731279474,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,3,4,0.422,0.5876288659793815,0.7373795844927792,14,0.8651975683890576,0.004446425178823052,20516.470212015636,6838.823404005212,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,5,0,0.442,0.2219820932386539,0.4715474696969276,10,0.9454407294832826,0.003641078586842222,21511.516928200035,4302.303385640007,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,5,1,0.417,0.2219820932386539,0.4715474696969276,10,0.9501519756838904,0.0066349179188276795,21479.794423619824,4295.958884723965,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,5,2,0.417,0.3637970209543045,0.5936300920654847,10,0.8496960486322187,0.005185021917699669,31523.948684955958,6304.789736991192,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,5,3,0.412,0.3637970209543045,0.5936300920654847,10,0.9547112462006078,0.005054191230491141,26047.531199349756,5209.506239869951,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,5,4,0.44,0.3637970209543045,0.5936300920654847,10,0.9565349544072947,0.004388914613432714,25988.346847521505,5197.669369504301,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,7,0,0.43,0.3637970209543045,0.5936300920654847,10,0.9541033434650457,0.005144775343407554,26690.51833110884,3812.9311901584056,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,7,1,0.442,0.2219820932386539,0.4715474696969276,10,0.9575987841945288,0.006180759698377745,28989.753742321267,4141.393391760181,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,7,2,0.424,0.3637970209543045,0.5936300920654847,10,0.8501519756838907,0.0077403231478704254,36456.556731602745,5208.0795330861065,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,7,3,0.429,0.3637970209543045,0.5936300920654847,10,0.9496960486322189,0.0032381878043560093,35666.873121364704,5095.267588766386,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,7,4,0.436,0.3637970209543045,0.5936300920654847,10,0.9282674772036474,0.006440614012284824,31765.98243447829,4537.997490639756,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,10,0,0.433,0.3637970209543045,0.5936300920654847,10,0.9595744680851064,0.002469312584995705,42044.49151534721,4204.449151534721,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,10,1,0.439,0.3637970209543045,0.5936300920654847,10,0.9253799392097264,0.011477937743768499,33488.05781619849,3348.805781619849,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,10,2,0.45,0.3637970209543045,0.5936300920654847,10,0.9496960486322189,0.0025156451910709355,46987.96042074034,4698.796042074034,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,10,3,0.442,0.3637970209543045,0.5936300920654847,10,0.9604863221884499,0.005706681870978307,48554.99803515263,4855.499803515263,7451.327362776412
drop_data_full_cr,issc,clustering-unsup,10,4,0.433,0.3637970209543045,0.5936300920654847,10,0.9343465045592705,0.0036789417741368304,28060.724473224658,2806.072447322466,7451.327362776412
drop_data_full_cr,bsnet_fc,deep-unsup,3,0,3.114,0.2398190045248869,0.49494555741149565,10,0.7887537993920973,0.01170311447305681,945.9167892822877,315.30559642742924,603.5476559064216
drop_data_full_cr,bsnet_fc,deep-unsup,3,1,2.36,0.0648854961832061,0.3141140477016473,8,0.6700607902735563,0.012836323655792516,713.3898631775797,237.79662105919326,330.10099042936804
drop_data_full_cr,bsnet_fc,deep-unsup,3,2,2.357,-0.09702152757298732,0.0679230172562323,7,0.6370820668693009,0.005386031959473988,97.83920116298205,32.61306705432735,61.209548114258446
drop_data_full_cr,bsnet_fc,deep-unsup,3,3,2.408,0.2398190045248869,0.49494555741149565,10,0.7351063829787234,0.004747872143408287,367.07242291321205,122.35747430440402,330.10099042936804
drop_data_full_cr,bsnet_fc,deep-unsup,3,4,2.357,0.167420814479638,0.3760755404415013,9,0.6930091185410335,0.007046822564966325,673.5958402699168,224.53194675663894,330.10099042936804
drop_data_full_cr,bsnet_fc,deep-unsup,5,0,2.373,0.0648854961832061,0.3141140477016473,8,0.8516717325227964,0.009434740544175535,2048.0779243182033,409.61558486364066,1004.0517913060567
drop_data_full_cr,bsnet_fc,deep-unsup,5,1,2.349,0.2398190045248869,0.49494555741149565,10,0.81580547112462,0.00243161094224926,2900.8064400097974,580.1612880019595,1921.4600041955393
drop_data_full_cr,bsnet_fc,deep-unsup,5,2,2.352,0.25023430178069356,0.48590913757674314,11,0.7901215805471125,0.007420398550598025,2166.1763290703966,433.2352658140793,1383.1320089206833
drop_data_full_cr,bsnet_fc,deep-unsup,5,3,2.366,0.2398190045248869,0.49494555741149565,10,0.8731003039513678,0.0064835042576600445,3257.6734388616196,651.5346877723239,2205.3958969616765
drop_data_full_cr,bsnet_fc,deep-unsup,5,4,2.357,0.09011373578302712,0.2734585337449318,8,0.7655015197568389,0.004498069479315739,703.56508494551,140.713016989102,330.10099042936804
drop_data_full_cr,bsnet_fc,deep-unsup,7,0,2.363,0.300087489063867,0.6072839124852141,11,0.8527355623100303,0.008853806482449565,3468.69004112237,495.52714873176717,1359.4025686899085
drop_data_full_cr,bsnet_fc,deep-unsup,7,1,2.373,0.2398190045248869,0.49494555741149565,10,0.902127659574468,0.008695878116060774,9397.708360769891,1342.5297658242703,6213.959802752678
drop_data_full_cr,bsnet_fc,deep-unsup,7,2,2.337,0.300087489063867,0.6072839124852141,11,0.9250759878419453,0.0026584887058565413,10168.949780932933,1452.7071115618476,7399.225795956114
drop_data_full_cr,bsnet_fc,deep-unsup,7,3,2.384,0.2398190045248869,0.49494555741149565,10,0.9144376899696048,0.006476375608711987,7050.916693340887,1007.2738133344125,3504.533355421237
drop_data_full_cr,bsnet_fc,deep-unsup,7,4,2.362,0.2398190045248869,0.49494555741149565,10,0.9200607902735563,0.005207246717024861,13329.652367223236,1904.2360524604624,6908.60564540424
drop_data_full_cr,bsnet_fc,deep-unsup,10,0,2.385,0.300087489063867,0.6072839124852141,11,0.9294832826747721,0.0033434650455926884,14655.172855250785,1465.5172855250785,6633.483873538715
drop_data_full_cr,bsnet_fc,deep-unsup,10,1,2.344,0.2219820932386539,0.4715474696969276,10,0.9474164133738603,0.008004373302287947,22386.420184572904,2238.6420184572903,6213.959802752678
drop_data_full_cr,bsnet_fc,deep-unsup,10,2,2.377,0.2219820932386539,0.4715474696969276,10,0.9422492401215805,0.006247661030727811,17662.45717929268,1766.245717929268,7399.225795956114
drop_data_full_cr,bsnet_fc,deep-unsup,10,3,2.365,0.2219820932386539,0.4715474696969276,10,0.9486322188449847,0.0043941739497875155,20309.002482281147,2030.9002482281146,6698.732524444504
drop_data_full_cr,bsnet_fc,deep-unsup,10,4,2.383,0.2219820932386539,0.4715474696969276,10,0.9343465045592705,0.006295536528026729,19940.917713521514,1994.0917713521515,6908.60564540424
drop_data_full_cr,random,baseline,3,0,0.0,0.7750702905342081,0.8271423565886092,15,0.7224924012158055,0.006786356705703987,10921.957944562793,3640.6526481875976,7106.679370512781
drop_data_full_cr,random,baseline,3,1,0.0,0.3637970209543045,0.5936300920654847,10,0.847872340425532,0.014595996600052214,16592.59628760541,5530.865429201804,6698.732524444504
drop_data_full_cr,random,baseline,3,2,0.0,0.44427292374189564,0.6769486128375007,13,0.6249240121580548,0.003384659187130724,2092.2630827268117,697.421027575604,1001.0509766699486
drop_data_full_cr,random,baseline,3,3,0.0,0.026717557251908396,0.23183647619355682,9,0.7996960486322189,0.00813602359533384,4052.1950780970155,1350.7316926990052,2896.844300845269
drop_data_full_cr,random,baseline,3,4,0.0,0.450717119316448,0.5806687611971509,13,0.732370820668693,0.007497809351698477,8715.5324972427,2905.1774990809004,5095.364979183686
drop_data_full_cr,random,baseline,5,0,0.0,0.5876288659793815,0.7373795844927791,14,0.8410334346504559,0.011078599980916478,14733.709942202198,2946.74198844044,7166.444049045509
drop_data_full_cr,random,baseline,5,1,0.0,0.2398190045248869,0.49494555741149565,10,0.9344984802431611,0.007167067551703117,19472.49331639425,3894.4986632788505,6644.7922736943
drop_data_full_cr,random,baseline,5,2,0.0,0.300087489063867,0.6072839124852141,11,0.6852583586626141,0.004594594668033717,3162.980509512284,632.5961019024568,1023.1446035526619
drop_data_full_cr,random,baseline,5,3,0.0,0.2398190045248869,0.49494555741149565,10,0.8340425531914895,0.010944359809962827,6555.662243004789,1311.1324486009578,4646.492152157156
drop_data_full_cr,random,baseline,5,4,0.0,0.3637970209543045,0.5936300920654847,10,0.7261398176291793,0.010018875212066574,15210.64922198626,3042.129844397252,4677.470921172903
drop_data_full_cr,random,baseline,7,0,0.0,0.2219820932386539,0.4715474696969276,10,0.8928571428571427,0.005747012279996647,17097.85666544717,2442.550952206738,7357.259061594652
drop_data_full_cr,random,baseline,7,1,0.0,0.2398190045248869,0.49494555741149565,10,0.9141337386018238,0.009429843196041687,22004.100598339006,3143.442942619858,6471.157416357406
drop_data_full_cr,random,baseline,7,2,0.0,0.5876288659793815,0.7373795844927791,14,0.7965045592705167,0.010846848559304224,11204.439281802031,1600.634183114576,5681.7213949734205
drop_data_full_cr,random,baseline,7,3,0.0,0.10800970873786407,0.3141464721862397,9,0.8962006079027356,0.004472321875246861,16799.227874180706,2399.8896963115294,5766.509718896811
drop_data_full_cr,random,baseline,7,4,0.0,0.3637970209543045,0.5936300920654847,10,0.7352583586626139,0.010731248294170043,17343.03639793676,2477.5766282766804,4678.430999418872
drop_data_full_cr,random,baseline,10,0,0.0,0.2219820932386539,0.4715474696969276,10,0.897872340425532,0.00467433328244064,18269.807693008344,1826.9807693008345,7451.327362776412
drop_data_full_cr,random,baseline,10,1,0.0,0.2219820932386539,0.4715474696969276,10,0.8948328267477205,0.00807904793921093,30562.12013888393,3056.212013888393,6213.959802752678
drop_data_full_cr,random,baseline,10,2,0.0,0.5876288659793815,0.7373795844927791,14,0.8673252279635258,0.007516269312387973,26537.759295188738,2653.775929518874,7165.550842874065
drop_data_full_cr,random,baseline,10,3,0.0,0.2398190045248869,0.49494555741149565,10,0.8721884498480243,0.012104746353641277,16289.359285958859,1628.9359285958858,6386.983734897159
drop_data_full_cr,random,baseline,10,4,0.0,0.3637970209543045,0.5936300920654847,10,0.8983282674772036,0.007134768750337694,30476.239699434387,3047.6239699434386,7310.325698097596
drop_data_full_cr,ae_perturb,ours,3,0,0.002,0.3637970209543045,0.5936300920654847,10,0.9376899696048634,0.004829862790902953,13159.721822929405,4386.573940976468,6698.732524444504
drop_data_full_cr,ae_perturb,ours,5,0,0.001,0.3637970209543045,0.5936300920654847,10,0.946808510638298,0.001732789399846723,25718.823206634832,5143.764641326967,7310.325698097596
drop_data_full_cr,ae_perturb,ours,7,0,0.001,0.3637970209543045,0.5936300920654847,10,0.9569908814589667,0.00431461081051016,29834.833218465414,4262.119031209345,7310.325698097596
drop_data_full_cr,ae_perturb,ours,10,0,0.001,0.3637970209543045,0.5936300920654847,10,0.9635258358662615,0.0032238910996347098,48985.45344428161,4898.545344428161,7399.225795956114
