method,K,mean,std,n,mean_time
ae_perturb,13,0.97705,,1,0.0
pca_loading,13,0.6130000000000001,,1,0.006
random,13,0.9742,0.0017677669529664489,2,0.0005
sam_greedy,13,0.6428,0.0014142135623729786,2,0.009999999999999998
spa,13,0.9806000000000001,,1,0.144
variance,13,0.6130000000000001,,1,0.003
