dataset,method,method_type,K,seed,knn_acc,best_config,select_time_s
pepsin,sparse_lasso,embedded-sup,10,0,0.7492151868743707,,0.262
pepsin,sparse_lasso,embedded-sup,10,1,0.7492151868743707,,0.257
pepsin,sparse_lasso,embedded-sup,15,0,0.7347035479476396,,1.013
pepsin,sparse_lasso,embedded-sup,15,1,0.7347035479476396,,1.021
pepsin,sparse_lasso,embedded-sup,20,0,0.7372801042468755,,1.051
pepsin,sparse_lasso,embedded-sup,20,1,0.7372801042468755,,1.041
pepsin,sparse_lasso,embedded-sup,30,0,0.7402120476218681,,3.406
pepsin,sparse_lasso,embedded-sup,30,1,0.7394124267014156,,3.387
pepsin,sparse_lasso,embedded-sup,50,0,0.749244802464017,,7.17
pepsin,sparse_lasso,embedded-sup,50,1,0.7490374933364923,,7.202
pepsin,random,baseline,5,0,0.6380382633418231,,0.001
pepsin,random,baseline,5,1,0.6805070188947462,,0.0
pepsin,random,baseline,10,0,0.7314162174968903,,0.0
pepsin,random,baseline,10,1,0.7693537878339157,,0.0
pepsin,random,baseline,15,0,0.7466978617544275,,0.0
pepsin,random,baseline,15,1,0.735266244150921,,0.0
pepsin,random,baseline,20,0,0.7660664573831665,,0.0
pepsin,random,baseline,20,1,0.7034591008706983,,0.0
pepsin,random,baseline,30,0,0.7415743647456021,,0.0
pepsin,random,baseline,30,1,0.7567079310549073,,0.0
pepsin,random,baseline,50,0,0.7537759876799147,,0.0
pepsin,random,baseline,50,1,0.757981401409702,,0.0
